Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Acacia catechu (L.f.) Willd.,112,Tree,Fabaceae,N,NE,Non Endemic
Acacia ferruginea DC.,61,Tree,Fabaceae,N,VU,Non Endemic
Acacia nilotica subsp. indica (Benth.) Brenan,6,Tree,Fabaceae,N,NE,Non Endemic
Acalypha fruticosa Forssk.,55,Shrub,Euphorbiaceae,N,LC,Non Endemic
Acrocarpus fraxinifolius Arn.,51,Tree,Fabaceae,N,NE,Non Endemic
Actinodaphne wightiana (Kuntze) Noltie,48,Tree,Lauraceae,N,NE,Endemic
Adansonia digitata L.,50,Tree,Malvaceae,E,NE,Non Endemic
Adenanthera pavonina L.,713,Tree,Fabaceae,N,LC,Non Endemic
Aegle marmelos (L.) Correa,257,Tree,Rutaceae,N,NT,Non Endemic
Aglaia edulis (Roxb.) Wall.,50,Tree,Meliaceae,N,NT,Endemic
Aglaia elaeagnoidea (A. Juss.) Benth.,2280,Tree,Meliaceae,N,LC,Non Endemic
Aglaia lawii (Wight) C.J.Saldanha,52,Tree,Meliaceae,N,LC,Non Endemic
Aglaia malabarica Sasidh.,56,Tree,Meliaceae,N,CR,Endemic
Aglaia perviridis Hiern,10,Tree,Meliaceae,N,VU,Non Endemic
Ailanthus excelsa Roxb.,51,Tree,Simaroubaceae,N,NE,Non Endemic
Ailanthus triphysa (Dennst.) Alston,246,Tree,Simaroubaceae,N,NE,Non Endemic
Alangium salviifolium (L.f.) Wangerin,143,Tree,Cornaceae,N,LC,Non Endemic
Albizia amara (Roxb.) B.Boivin,86,Tree,Fabaceae,N,LC,Non Endemic
Albizia chinensis (Osbeck)Merr.,32,Tree,Fabaceae,N,NE,Non Endemic
Albizia julibrissin Durazz.,1,Tree,Fabaceae,N,NE,Non Endemic
Albizia lebbeck (L.)Benth.,93,Tree,Fabaceae,N,NE,Non Endemic
Albizia odoratissima (L.f.)Benth.,89,Tree,Fabaceae,N,LC,Non Endemic
Albizia procera (Roxb.)Benth.,132,Tree,Fabaceae,N,LC,Non Endemic
Albizia saman (Jacq.) Merr.,1766,Tree,Fabaceae,E,NE,Non Endemic
Alstonia macrophylla Wall. ex G.Don,1,Tree,Apocynaceae,E,LC,Non Endemic
Alstonia scholaris (L). R.Br.,1589,Tree,Apocynaceae,N,LC,Non Endemic
Alstonia venenata R.Br.,55,Tree,Apocynaceae,N,NE,Non Endemic
Anacardium occidentale L.,3501,Tree,Anacardiaceae,E,NE,Non Endemic
Annona glabra L.,50,Tree,Annonaceae,E,LC,Non Endemic
Annona muricata L.,1062,Tree,Annonaceae,E,LC,Non Endemic
Annona reticulata L.,576,Tree,Annonaceae,E,LC,Non Endemic
Annona squamosa L.,1135,Tree,Annonaceae,E,LC,Non Endemic
Antiaris toxicaria Lesch.,4,Tree,Moraceae,N,LC,Non Endemic
Antidesma acidum Retz.,4,Shrub,Phyllanthaceae,N,LC,Non Endemic
Antidesma ghaesembilla Gaertn.,1350,Tree,Phyllanthaceae,N,LC,Non Endemic
Antidesma montanum Blume,17912,Tree,Phyllanthaceae,N,LC,Non Endemic
Aphanamixis polystachya (Wall.) R. N. Parker,338,Tree,Meliaceae,N,LC,Non Endemic
Aphananthe cuspidata (Blume) Planch.,58,Tree,Cannabaceae,N,NE,Non Endemic
Aporosa cardiosperma (Gaertn.) Merr.,44408,Tree,Phyllanthaceae,N,VU,Non Endemic
Aquilaria malaccensis Lam.,223,Tree,Thymelaeaceae,N,CR,Non Endemic
Araucaria columnaris (J.R. Forst.) Hooker,2,Tree,Araucariaceae,E,LC,Non Endemic
Archidendron bigeminum (L.) I.C.Nielsen,45,Tree,Fabaceae,N,NE,Non Endemic
Ardisia elliptica Thunb.,399,Shrub,Primulaceae,N,NE,Non Endemic
Ardisia solanacea (Poir.) Roxb.,10,Shrub,Primulaceae,N,NE,Non Endemic
Artocarpus altilis (Parkinson) Fosberg,83,Tree,Moraceae,E,NE,Non Endemic
Artocarpus heterophyllus Lam.,5619,Tree,Moraceae,N,NE,Non Endemic
Artocarpus hirsutus Lam.,2604,Tree,Moraceae,N,LC,Endemic
Artocarpus lacucha Buch.-Ham.,455,Tree,Moraceae,N,NE,Non Endemic
Averrhoa bilimbi  L.,482,Tree,Oxalidaceae,E,NE,Non Endemic
Averrhoa carambola L.,881,Tree,Oxalidaceae,E,NE,Non Endemic
Azadirachta indica A.Juss.,194,Tree,Meliaceae,N,LC,Non Endemic
Baccaurea courtallensis (Wight) Müll.Arg.,39,Tree,Phyllanthaceae,N,NE,Endemic
